de,a,ciudad,tipo
2018-11-05T08:30:00Z,2018-11-05T09:15:00Z,Europe/Madrid,Swimming
2018-11-05T10:02:00Z,2018-11-05T10:21:00Z,Europe/Madrid,Walking
2018-11-05T13:10:00Z,2018-11-05T13:30:00Z,Europe/Madrid,Walking
2018-11-05T17:29:00Z,2018-11-05T17:47:00Z,Europe/Madrid,Walking
2018-11-05T20:01:00Z,2018-11-05T20:21:00Z,Europe/Madrid,Walking
2018-11-07T12:46:00Z,2018-11-07T13:02:00Z,Europe/Madrid,Walking
2018-11-07T15:23:00Z,2018-11-07T15:40:00Z,Europe/Madrid,Walking
2018-11-08T15:48:00Z,2018-11-08T15:57:00Z,Europe/Madrid,Walking
2018-11-08T17:35:00Z,2018-11-08T17:56:00Z,Europe/Madrid,Walking
2018-11-08T18:26:00Z,2018-11-08T18:46:00Z,Europe/Madrid,Walking
2018-11-09T16:20:00Z,2018-11-09T16:31:00Z,Europe/Madrid,Walking
2018-11-09T17:07:00Z,2018-11-09T17:30:00Z,Europe/Madrid,Walking
2018-11-10T15:32:00Z,2018-11-10T15:43:00Z,Europe/Madrid,Walking
2018-11-12T08:30:00Z,2018-11-12T09:15:00Z,Europe/Madrid,Swimming
2018-11-12T09:51:00Z,2018-11-12T09:55:00Z,Europe/Madrid,Running
2018-11-12T09:56:00Z,2018-11-12T10:02:00Z,Europe/Madrid,Walking
2018-11-12T10:20:00Z,2018-11-12T10:24:00Z,Europe/Madrid,Walking
2018-11-12T12:04:00Z,2018-11-12T12:15:00Z,Europe/Madrid,Walking
2018-11-12T14:44:00Z,2018-11-12T14:48:00Z,Europe/Madrid,Walking
2018-11-12T14:56:00Z,2018-11-12T15:01:00Z,Europe/Madrid,Walking
2018-11-12T15:07:00Z,2018-11-12T15:11:00Z,Europe/Madrid,Walking
2018-11-12T15:31:00Z,2018-11-12T15:50:00Z,Europe/Madrid,Walking
2018-11-16T18:45:00Z,2018-11-16T19:10:00Z,Europe/Madrid,Walking
2018-11-16T22:08:00Z,2018-11-16T22:36:00Z,Europe/Madrid,Walking
2018-11-17T10:52:00Z,2018-11-17T10:59:00Z,Europe/Madrid,Walking
2018-11-18T14:15:00Z,2018-11-18T14:47:00Z,Europe/Madrid,Walking
2018-11-18T18:22:00Z,2018-11-18T18:34:00Z,Europe/Madrid,Walking
2018-11-19T08:20:00Z,2018-11-19T08:40:00Z,Europe/Madrid,Swimming
2018-11-19T10:14:00Z,2018-11-19T10:31:00Z,Europe/Madrid,Walking
2018-11-19T13:07:00Z,2018-11-19T13:25:00Z,Europe/Madrid,Walking
2018-11-19T15:16:00Z,2018-11-19T15:33:00Z,Europe/Madrid,Walking
2018-11-19T19:59:00Z,2018-11-19T20:17:00Z,Europe/Madrid,Walking
2018-11-21T08:20:00Z,2018-11-21T09:20:00Z,Europe/Madrid,Swimming
2018-11-21T12:17:00Z,2018-11-21T12:24:00Z,Europe/Madrid,Running
2018-11-21T12:43:00Z,2018-11-21T12:54:00Z,Europe/Madrid,Walking
2018-11-21T15:16:00Z,2018-11-21T15:33:00Z,Europe/Madrid,Walking
