date,de.x,a.x,ciudad,tipo,ligero,profundo,despierto,duracion_dormir,duracion_desp,snoring,tiempo_total
2018-11-05,2018-11-05T10:02:00Z,2018-11-05T10:21:00Z,Europe/Madrid,Walking,11460,17160,1500,360,0,0,28620
2018-11-05,2018-11-05T20:01:00Z,2018-11-05T20:21:00Z,Europe/Madrid,Walking,11460,17160,1500,360,0,0,28620
2018-11-05,2018-11-05T13:10:00Z,2018-11-05T13:30:00Z,Europe/Madrid,Walking,11460,17160,1500,360,0,0,28620
2018-11-05,2018-11-05T08:30:00Z,2018-11-05T09:15:00Z,Europe/Madrid,Swimming,11460,17160,1500,360,0,0,28620
2018-11-05,2018-11-05T17:29:00Z,2018-11-05T17:47:00Z,Europe/Madrid,Walking,11460,17160,1500,360,0,0,28620
2018-11-07,2018-11-07T12:46:00Z,2018-11-07T13:02:00Z,Europe/Madrid,Walking,13920,15420,1560,300,540,0,29340
2018-11-07,2018-11-07T15:23:00Z,2018-11-07T15:40:00Z,Europe/Madrid,Walking,13920,15420,1560,300,540,0,29340
2018-11-09,2018-11-09T17:07:00Z,2018-11-09T17:30:00Z,Europe/Madrid,Walking,13020,19740,1860,600,0,0,32760
2018-11-09,2018-11-09T16:20:00Z,2018-11-09T16:31:00Z,Europe/Madrid,Walking,13020,19740,1860,600,0,0,32760
2018-11-17,2018-11-17T10:52:00Z,2018-11-17T10:59:00Z,Europe/Madrid,Walking,17760,9420,1140,180,0,0,27180
2018-11-18,2018-11-18T14:15:00Z,2018-11-18T14:47:00Z,Europe/Madrid,Walking,11700,13920,3000,1020,420,0,25620
2018-11-18,2018-11-18T18:22:00Z,2018-11-18T18:34:00Z,Europe/Madrid,Walking,11700,13920,3000,1020,420,0,25620
2018-11-21,2018-11-21T17:44:00Z,2018-11-21T17:59:00Z,Europe/Madrid,Walking,11400,13320,1680,0,180,0,24720
2018-11-21,2018-11-21T19:42:00Z,2018-11-21T19:47:00Z,Europe/Madrid,Running,11400,13320,1680,0,180,0,24720
2018-11-21,2018-11-21T12:43:00Z,2018-11-21T12:54:00Z,Europe/Madrid,Walking,11400,13320,1680,0,180,0,24720
2018-11-21,2018-11-21T15:16:00Z,2018-11-21T15:33:00Z,Europe/Madrid,Walking,11400,13320,1680,0,180,0,24720
2018-11-21,2018-11-21T12:17:00Z,2018-11-21T12:24:00Z,Europe/Madrid,Running,11400,13320,1680,0,180,0,24720
2018-11-21,2018-11-21T08:20:00Z,2018-11-21T09:20:00Z,Europe/Madrid,Swimming,11400,13320,1680,0,180,0,24720
2018-11-21,2018-11-21T19:32:00Z,2018-11-21T19:41:00Z,Europe/Madrid,Walking,11400,13320,1680,0,180,0,24720
2018-11-22,2018-11-22T18:29:00Z,2018-11-22T18:42:00Z,Europe/Madrid,Walking,12720,19560,1860,0,0,0,32280
2018-11-22,2018-11-22T18:16:00Z,2018-11-22T18:21:00Z,Europe/Madrid,Walking,12720,19560,1860,0,0,0,32280
2018-11-22,2018-11-22T11:49:00Z,2018-11-22T11:53:00Z,Europe/Madrid,Walking,12720,19560,1860,0,0,0,32280
2018-11-22,2018-11-22T17:40:00Z,2018-11-22T18:00:00Z,Europe/Madrid,Walking,12720,19560,1860,0,0,0,32280
2018-11-26,2018-11-26T13:08:00Z,2018-11-26T13:27:00Z,Europe/Madrid,Walking,14820,12180,900,300,120,2,27000
2018-11-26,2018-11-26T08:30:00Z,2018-11-26T09:30:00Z,Europe/Madrid,Swimming,14820,12180,900,300,120,2,27000
2018-11-26,2018-11-26T20:04:00Z,2018-11-26T20:22:00Z,Europe/Madrid,Walking,14820,12180,900,300,120,2,27000
2018-11-26,2018-11-26T16:54:00Z,2018-11-26T17:10:00Z,Europe/Madrid,Walking,14820,12180,900,300,120,2,27000
2018-11-26,2018-11-26T10:21:00Z,2018-11-26T10:42:00Z,Europe/Madrid,Walking,14820,12180,900,300,120,2,27000
2018-11-27,2018-11-27T07:15:00Z,2018-11-27T08:15:00Z,Europe/Madrid,Pilates,11520,12600,1320,120,0,0,24120
2018-11-28,2018-11-28T20:08:00Z,2018-11-28T20:27:00Z,Europe/Madrid,Walking,16140,11520,840,420,420,0,27660
2018-11-28,2018-11-28T12:41:00Z,2018-11-28T12:48:00Z,Europe/Madrid,Walking,16140,11520,840,420,420,0,27660
2018-11-28,2018-11-28T17:55:00Z,2018-11-28T18:11:00Z,Europe/Madrid,Walking,16140,11520,840,420,420,0,27660
2018-11-28,2018-11-28T12:49:00Z,2018-11-28T12:53:00Z,Europe/Madrid,Running,16140,11520,840,420,420,0,27660
2018-11-28,2018-11-28T08:15:00Z,2018-11-28T09:15:00Z,Europe/Madrid,Swimming,16140,11520,840,420,420,0,27660
2018-11-28,2018-11-28T15:14:00Z,2018-11-28T15:34:00Z,Europe/Madrid,Walking,16140,11520,840,420,420,0,27660
2018-12-05,2018-12-05T12:29:00Z,2018-12-05T12:45:00Z,Europe/Madrid,Walking,16620,15300,2460,120,0,0,31920
2018-12-05,2018-12-05T19:56:00Z,2018-12-05T20:16:00Z,Europe/Madrid,Walking,16620,15300,2460,120,0,0,31920
2018-12-05,2018-12-05T15:08:00Z,2018-12-05T15:26:00Z,Europe/Madrid,Walking,16620,15300,2460,120,0,0,31920
2018-12-05,2018-12-05T17:51:00Z,2018-12-05T17:58:00Z,Europe/Madrid,Walking,16620,15300,2460,120,0,0,31920
2018-12-06,2018-12-06T16:24:00Z,2018-12-06T16:49:00Z,Europe/Madrid,Walking,18720,13800,1560,360,60,0,32520
2018-12-06,2018-12-06T19:10:00Z,2018-12-06T19:25:00Z,Europe/Madrid,Walking,18720,13800,1560,360,60,0,32520
2018-12-07,2018-12-07T07:42:00Z,2018-12-07T07:50:00Z,Europe/Madrid,Running,10260,23280,3960,420,180,1,33540
2019-02-18,2019-02-18T17:37:00Z,2019-02-18T17:54:00Z,Europe/Madrid,Walking,12180,15420,1320,300,600,0,27600
2019-02-18,2019-02-18T19:59:00Z,2019-02-18T20:18:00Z,Europe/Madrid,Walking,12180,15420,1320,300,600,0,27600
2019-02-19,2019-02-19T13:13:00Z,2019-02-19T13:29:00Z,Europe/Rome,Walking,4920,12060,900,180,180,0,16980
2019-02-21,2019-02-21T21:33:00Z,2019-02-21T21:45:00Z,Europe/Rome,Other,8400,13380,2100,300,1140,0,21780
2019-02-21,2019-02-21T08:30:00Z,2019-02-21T11:30:00Z,Europe/Rome,Ski,8400,13380,2100,300,1140,0,21780
2019-02-22,2019-02-22T08:00:00Z,2019-02-22T11:20:00Z,Europe/Rome,Ski,13680,10380,1380,420,0,2,24060
2019-02-23,2019-02-23T08:00:00Z,2019-02-23T12:20:00Z,Europe/Rome,Ski,12660,12180,1860,240,180,0,24840
2019-02-23,2019-02-23T08:00:00Z,2019-02-23T12:20:00Z,Europe/Rome,Ski,1800,3420,1080,180,300,0,5220
2019-02-25,2019-02-25T17:58:00Z,2019-02-25T18:10:00Z,Europe/Madrid,Walking,8820,18540,1920,360,420,0,27360
2019-02-25,2019-02-25T20:05:00Z,2019-02-25T20:18:00Z,Europe/Madrid,Walking,8820,18540,1920,360,420,0,27360
2019-02-26,2019-02-26T08:21:00Z,2019-02-26T08:25:00Z,Europe/Madrid,Running,10680,14580,3180,180,120,0,25260
2019-02-27,2019-02-27T16:54:00Z,2019-02-27T17:10:00Z,Europe/Madrid,Walking,15180,12900,2760,300,780,0,28080
2019-02-27,2019-02-27T20:06:00Z,2019-02-27T20:27:00Z,Europe/Madrid,Walking,15180,12900,2760,300,780,0,28080
2019-02-28,2019-02-28T18:16:00Z,2019-02-28T18:31:00Z,Europe/Madrid,Walking,13800,12420,1740,300,660,0,26220
2019-02-28,2019-02-28T17:08:00Z,2019-02-28T17:22:00Z,Europe/Madrid,Walking,13800,12420,1740,300,660,0,26220
2019-02-28,2019-02-28T15:01:00Z,2019-02-28T15:11:00Z,Europe/Madrid,Walking,13800,12420,1740,300,660,0,26220
2019-03-01,2019-03-01T13:47:00Z,2019-03-01T14:00:00Z,Europe/Madrid,Walking,15120,15780,2520,0,240,0,30900
2019-03-01,2019-03-01T07:34:00Z,2019-03-01T07:38:00Z,Europe/Madrid,Walking,15120,15780,2520,0,240,0,30900
